epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,278.72,0.52658,0.2576,0.85676,0.98848,1,0.99489,0.85206,0.67304,0.26013,0.9085,0.0011486,0.0011486,0.0011486
45,284.836,0.54119,0.26222,0.83979,0.99933,1,0.995,0.85341,0.63331,0.24758,0.89277,0.0011288,0.0011288,0.0011288
46,290.93,0.54088,0.26272,0.84837,1,1,0.995,0.86637,0.61929,0.23996,0.89726,0.001109,0.001109,0.001109
47,297.052,0.56062,0.27478,0.86404,0.99939,1,0.995,0.86038,0.63221,0.24399,0.89211,0.0010892,0.0010892,0.0010892
48,303.166,0.51558,0.25938,0.85068,0.99941,1,0.995,0.85104,0.62848,0.24729,0.88992,0.0010694,0.0010694,0.0010694
49,309.265,0.53132,0.26252,0.84997,0.99953,1,0.995,0.86156,0.61741,0.24043,0.89549,0.0010496,0.0010496,0.0010496
50,315.378,0.53503,0.26373,0.84399,0.99949,1,0.995,0.85333,0.62588,0.24633,0.89494,0.0010298,0.0010298,0.0010298
51,321.487,0.52016,0.25453,0.84839,0.99924,1,0.995,0.85116,0.64926,0.25433,0.89951,0.00101,0.00101,0.00101
52,327.605,0.49469,0.25087,0.833,0.99933,1,0.995,0.85862,0.62678,0.24947,0.89543,0.0009902,0.0009902,0.0009902
53,333.714,0.49998,0.24793,0.85102,0.99953,1,0.995,0.85776,0.64123,0.25202,0.8974,0.0009704,0.0009704,0.0009704
54,339.826,0.50417,0.25179,0.84883,1,0.99974,0.995,0.85589,0.64103,0.25019,0.90205,0.0009506,0.0009506,0.0009506
55,346.102,0.49908,0.2445,0.83873,0.99958,1,0.995,0.85627,0.63306,0.24058,0.89371,0.0009308,0.0009308,0.0009308
56,352.331,0.52426,0.2571,0.85341,0.99933,1,0.995,0.85919,0.63618,0.24134,0.88717,0.000911,0.000911,0.000911
57,358.697,0.48417,0.23685,0.82795,0.99931,1,0.995,0.85856,0.65282,0.24729,0.89841,0.0008912,0.0008912,0.0008912
58,364.936,0.52185,0.25273,0.84474,0.99929,1,0.995,0.86156,0.63403,0.24308,0.89082,0.0008714,0.0008714,0.0008714
59,371.185,0.51689,0.24528,0.84655,0.99931,1,0.995,0.85312,0.64523,0.24559,0.90229,0.0008516,0.0008516,0.0008516
60,377.429,0.51062,0.25083,0.8292,0.99944,1,0.995,0.85467,0.63054,0.25317,0.89268,0.0008318,0.0008318,0.0008318
61,383.666,0.5363,0.26087,0.84514,0.99953,1,0.995,0.85649,0.64049,0.24077,0.89986,0.000812,0.000812,0.000812
62,389.909,0.50187,0.24312,0.84352,1,0.9996,0.995,0.86226,0.62281,0.23951,0.89604,0.0007922,0.0007922,0.0007922
63,396.167,0.48759,0.24002,0.8242,1,0.99944,0.995,0.86057,0.64607,0.25393,0.90535,0.0007724,0.0007724,0.0007724
64,402.408,0.49004,0.24456,0.8353,1,0.99983,0.995,0.84879,0.64204,0.24766,0.89557,0.0007526,0.0007526,0.0007526
65,408.642,0.49596,0.23769,0.83933,0.99951,1,0.995,0.8658,0.62714,0.23676,0.89,0.0007328,0.0007328,0.0007328
66,414.89,0.49319,0.23828,0.82526,0.99949,1,0.995,0.85226,0.65895,0.24361,0.90116,0.000713,0.000713,0.000713
67,421.136,0.47741,0.24169,0.83128,0.99955,1,0.995,0.8587,0.64187,0.24612,0.89403,0.0006932,0.0006932,0.0006932
68,427.4,0.48634,0.23615,0.83489,0.99975,1,0.995,0.86,0.64349,0.24736,0.89783,0.0006734,0.0006734,0.0006734
69,433.642,0.49257,0.23954,0.83102,1,0.99999,0.995,0.85428,0.66045,0.24639,0.90818,0.0006536,0.0006536,0.0006536
70,439.895,0.45837,0.23141,0.8207,0.99952,1,0.995,0.85681,0.6444,0.24494,0.89969,0.0006338,0.0006338,0.0006338
71,446.144,0.49583,0.24428,0.82325,0.99939,1,0.995,0.8608,0.6386,0.244,0.89922,0.000614,0.000614,0.000614
72,452.396,0.47978,0.2456,0.83073,1,1,0.995,0.8637,0.61317,0.23631,0.88655,0.0005942,0.0005942,0.0005942
73,458.623,0.46532,0.23224,0.82537,1,1,0.995,0.85543,0.64394,0.25178,0.90164,0.0005744,0.0005744,0.0005744
74,464.974,0.46352,0.22916,0.81921,1,1,0.995,0.86546,0.62836,0.23978,0.89831,0.0005546,0.0005546,0.0005546
75,471.227,0.47714,0.23523,0.83121,1,0.99991,0.995,0.86066,0.62661,0.24191,0.89992,0.0005348,0.0005348,0.0005348
76,477.476,0.4885,0.24352,0.82951,1,0.99997,0.995,0.84935,0.6399,0.24581,0.9031,0.000515,0.000515,0.000515
77,483.727,0.48059,0.23968,0.84993,0.99984,1,0.995,0.84859,0.6502,0.24862,0.90379,0.0004952,0.0004952,0.0004952
78,490,0.46317,0.23149,0.82094,0.99958,1,0.995,0.85642,0.64429,0.24123,0.90413,0.0004754,0.0004754,0.0004754
79,496.255,0.48317,0.23355,0.83378,0.99947,1,0.995,0.85732,0.64329,0.24002,0.90306,0.0004556,0.0004556,0.0004556
80,502.489,0.49206,0.23868,0.83676,0.99939,1,0.995,0.86136,0.63408,0.23978,0.8985,0.0004358,0.0004358,0.0004358
81,508.694,0.46562,0.22657,0.83337,0.99938,1,0.995,0.86908,0.61836,0.24159,0.89033,0.000416,0.000416,0.000416
82,514.959,0.45931,0.22203,0.81991,0.99949,1,0.995,0.86912,0.61744,0.2374,0.88802,0.0003962,0.0003962,0.0003962
83,521.22,0.46141,0.22674,0.82809,0.99985,1,0.995,0.85874,0.63509,0.24063,0.90115,0.0003764,0.0003764,0.0003764
84,527.438,0.48529,0.2407,0.82862,1,0.99999,0.995,0.86607,0.62044,0.24001,0.89848,0.0003566,0.0003566,0.0003566
85,533.653,0.46279,0.23447,0.82491,1,0.99988,0.995,0.86306,0.61779,0.23861,0.89806,0.0003368,0.0003368,0.0003368
86,539.888,0.45709,0.22485,0.83372,1,0.99988,0.995,0.85684,0.62813,0.23693,0.89975,0.000317,0.000317,0.000317
87,546.134,0.45019,0.21748,0.82616,0.99995,1,0.995,0.86563,0.61793,0.23758,0.89026,0.0002972,0.0002972,0.0002972
88,552.369,0.44183,0.22647,0.82177,1,0.99986,0.995,0.86,0.62127,0.23392,0.89341,0.0002774,0.0002774,0.0002774
89,558.594,0.4499,0.22372,0.8242,1,0.99994,0.995,0.86787,0.61682,0.23365,0.89194,0.0002576,0.0002576,0.0002576
90,564.847,0.46522,0.22368,0.83492,0.99986,1,0.995,0.86696,0.62156,0.23334,0.89401,0.0002378,0.0002378,0.0002378
91,572.142,0.40023,0.1926,0.81292,0.99987,1,0.995,0.87296,0.6165,0.23598,0.89415,0.000218,0.000218,0.000218
92,578.407,0.38611,0.19601,0.80616,0.99994,1,0.995,0.87211,0.61238,0.23364,0.89313,0.0001982,0.0001982,0.0001982
93,584.636,0.39462,0.19103,0.80677,0.99994,1,0.995,0.86593,0.61193,0.23467,0.89093,0.0001784,0.0001784,0.0001784
94,590.88,0.38149,0.19083,0.81612,1,0.99998,0.995,0.86604,0.62199,0.23715,0.89325,0.0001586,0.0001586,0.0001586
95,597.138,0.37715,0.19007,0.8199,1,0.99994,0.995,0.86608,0.62417,0.2373,0.89502,0.0001388,0.0001388,0.0001388
96,603.384,0.37327,0.19089,0.81213,1,0.99992,0.995,0.86604,0.61661,0.23827,0.89285,0.000119,0.000119,0.000119
97,609.611,0.38143,0.18794,0.8236,1,0.99985,0.995,0.86824,0.61679,0.23816,0.89485,9.92e-05,9.92e-05,9.92e-05
98,615.857,0.35818,0.18379,0.81347,1,0.9998,0.995,0.87101,0.61579,0.23511,0.89603,7.94e-05,7.94e-05,7.94e-05
99,622.092,0.35741,0.18209,0.80901,1,0.99979,0.995,0.86501,0.61816,0.2351,0.89635,5.96e-05,5.96e-05,5.96e-05
100,628.342,0.36759,0.189,0.82282,1,0.99975,0.995,0.86744,0.6215,0.23615,0.89708,3.98e-05,3.98e-05,3.98e-05
