epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.7,1.56719,1.86465,1.60863,0.85396,0.75962,0.8299,0.41637,1.62171,1.25875,1.67074,0.000665935,0.000665935,0.000665935
2,330.504,1.59648,1.10892,1.65845,0.85623,0.78144,0.85335,0.42206,1.59374,1.04268,1.65537,0.00120067,0.00120067,0.00120067
3,477.449,1.53574,0.96372,1.60547,0.83988,0.7709,0.85575,0.45056,1.55855,0.99111,1.61405,0.00160341,0.00160341,0.00160341
4,629.651,1.48196,0.87666,1.56197,0.87519,0.85093,0.9006,0.4986,1.45835,0.84963,1.52446,0.001406,0.001406,0.001406
5,783.226,1.41541,0.80852,1.50708,0.89346,0.87996,0.92526,0.5261,1.40555,0.79482,1.48106,0.001208,0.001208,0.001208
