epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,43913.9,0.91036,0.4929,1.16854,0.97533,0.97468,0.98705,0.72961,0.97753,0.35713,1.17161,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,45365.4,0.89834,0.48053,1.15641,0.97545,0.97472,0.98698,0.73081,0.97363,0.35425,1.16824,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,46813.1,0.87794,0.47002,1.14562,0.97608,0.97574,0.98741,0.73337,0.96877,0.35145,1.16394,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,48259.8,0.86325,0.46016,1.13652,0.97584,0.9759,0.9876,0.73527,0.96425,0.3487,1.16107,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,49717.9,0.84486,0.44971,1.12495,0.97555,0.97559,0.98706,0.73568,0.95967,0.34587,1.15788,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,51175,0.82638,0.43896,1.11646,0.97485,0.97684,0.98663,0.73658,0.95562,0.34304,1.15525,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,52630.3,0.81038,0.42978,1.10671,0.97618,0.97659,0.98639,0.73804,0.95154,0.34039,1.15351,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,54085.4,0.79218,0.41898,1.09332,0.97654,0.97653,0.98604,0.73912,0.9483,0.33767,1.15168,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,55541.3,0.77566,0.40889,1.08506,0.97703,0.97709,0.98591,0.73977,0.9457,0.33516,1.15093,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,56988.1,0.75456,0.39869,1.07396,0.97804,0.97671,0.98601,0.7392,0.9431,0.3329,1.15058,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,58436.8,0.73773,0.38661,1.065,0.97793,0.97665,0.98563,0.74017,0.94115,0.33082,1.15093,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,59883.4,0.67764,0.27625,1.00659,0.97854,0.9766,0.98615,0.74101,0.93801,0.32835,1.15062,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,61330.6,0.64747,0.26637,0.98655,0.97876,0.97721,0.98632,0.7414,0.9342,0.32661,1.15063,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,62776,0.62324,0.2559,0.96813,0.97854,0.97679,0.98666,0.74208,0.93062,0.32492,1.15032,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,64221.1,0.60247,0.24944,0.96154,0.97905,0.97696,0.98636,0.74225,0.92763,0.32346,1.15203,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,65667,0.58381,0.24178,0.95267,0.97915,0.97665,0.98659,0.74287,0.92502,0.3231,1.15478,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,67130.7,0.56793,0.23591,0.94364,0.97848,0.97665,0.98658,0.743,0.92297,0.32267,1.15808,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,68578.6,0.55616,0.23121,0.9344,0.97857,0.9764,0.98659,0.74345,0.92176,0.32245,1.1609,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,70031.5,0.54355,0.22691,0.92967,0.97878,0.97622,0.98666,0.74327,0.92027,0.32257,1.16427,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,71486.6,0.5372,0.22428,0.92601,0.97923,0.97603,0.98664,0.74305,0.91937,0.32282,1.16869,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,72934.9,0.53091,0.22187,0.92325,0.98009,0.97553,0.98669,0.74294,0.91871,0.32279,1.17252,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
