bbox_height,bbox_width,center_x,center_y,confidence,detector_source,event,frame_index,label,mode,source_path,timestamp,x1,x2,y1,y2
23,37,566,248,0.925,YOLO,detection,1,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:09,548,585,237,260
25,37,554,256,0.9205,YOLO,detection,2,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:09,536,573,244,269
25,38,558,269,0.9182,YOLO,detection,3,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:09,539,577,257,282
26,40,570,280,0.9225,YOLO,detection,4,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:09,550,590,267,293
25,41,573,284,0.9187,YOLO,detection,5,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:09,553,594,272,297
25,39,566,280,0.9222,YOLO,detection,6,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,547,586,268,293
25,39,560,275,0.9143,YOLO,detection,7,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,541,580,263,288
25,40,559,271,0.9328,YOLO,detection,8,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,539,579,259,284
25,41,561,270,0.9204,YOLO,detection,9,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,541,582,258,283
25,42,563,271,0.9266,YOLO,detection,10,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,542,584,259,284
25,41,562,275,0.912,YOLO,detection,11,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,542,583,263,288
24,40,562,277,0.9189,YOLO,detection,12,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,542,582,265,289
24,38,561,275,0.9194,YOLO,detection,13,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,542,580,263,287
24,40,559,271,0.9298,YOLO,detection,14,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,539,579,259,283
25,40,559,267,0.9228,YOLO,detection,15,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,539,579,255,280
25,41,557,265,0.9213,YOLO,detection,16,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,537,578,253,278
25,40,559,264,0.929,YOLO,detection,17,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,539,579,252,277
25,41,558,263,0.9297,YOLO,detection,18,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,538,579,251,276
26,42,561,263,0.927,YOLO,detection,19,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,540,582,250,276
26,41,562,262,0.9157,YOLO,detection,20,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,542,583,249,275
26,39,558,257,0.9271,YOLO,detection,21,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,539,578,244,270
26,40,554,257,0.9262,YOLO,detection,22,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,534,574,244,270
25,40,553,262,0.9221,YOLO,detection,23,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,533,573,250,275
26,41,550,270,0.9209,YOLO,detection,24,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,530,571,257,283
24,38,543,279,0.9318,YOLO,detection,25,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,524,562,267,291
26,39,531,288,0.9249,YOLO,detection,26,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:10,512,551,275,301
25,38,520,298,0.9154,YOLO,detection,27,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:11,501,539,286,311
25,38,510,309,0.9117,YOLO,detection,28,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:11,491,529,297,322
24,39,499,319,0.9211,YOLO,detection,29,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:11,480,519,307,331
25,43,488,325,0.9034,YOLO,detection,30,drone,Mode 1,C:/Users/user/Desktop/python/project/project/assets/raw/video/video_002.mp4,2026-05-07T21:35:11,467,510,313,338
