bbox_height,bbox_width,center_x,center_y,confidence,detector_source,event,frame_index,label,mode,source_path,timestamp,x1,x2,y1,y2
24,39,494,131,0.9001,YOLO,detection,3,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:15,475,514,119,143
22,34,475,118,0.9083,YOLO,detection,48,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:16,458,492,107,129
21,33,435,135,0.8907,YOLO,detection,72,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:17,419,452,125,146
20,36,395,122,0.8421,YOLO,detection,97,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:18,377,413,112,132
20,31,406,124,0.888,YOLO,detection,123,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:19,391,422,114,134
21,30,345,44,0.8839,YOLO,detection,150,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:20,330,360,34,55
14,26,424,81,0.7991,YOLO,detection,176,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:20,411,437,74,88
13,16,333,128,0.5772,YOLO,detection,250,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:23,325,341,122,135
22,36,369,177,0.9082,YOLO,detection,276,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:24,351,387,166,188
23,37,432,156,0.9265,YOLO,detection,301,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:25,414,451,145,168
22,34,444,151,0.9203,YOLO,detection,325,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:25,427,461,140,162
21,31,440,141,0.8671,YOLO,detection,350,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:26,425,456,131,152
21,35,437,130,0.8988,YOLO,detection,379,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:27,420,455,120,141
21,34,411,117,0.8774,YOLO,detection,406,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:28,394,428,107,128
23,33,363,81,0.8288,YOLO,detection,434,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:29,347,380,70,93
22,31,406,47,0.7007,YOLO,detection,466,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:30,391,422,36,58
23,31,362,46,0.3753,YOLO,detection,545,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:33,347,378,35,58
26,38,415,155,0.9119,YOLO,detection,572,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:34,396,434,142,168
28,37,464,141,0.9387,YOLO,detection,604,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:35,446,483,127,155
27,36,409,143,0.9341,YOLO,detection,631,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:36,391,427,130,157
29,38,395,157,0.9404,YOLO,detection,658,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:36,376,414,143,172
28,38,381,148,0.9445,YOLO,detection,683,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:37,362,400,134,162
27,35,382,154,0.9462,YOLO,detection,710,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:38,365,400,141,168
29,38,382,159,0.9514,YOLO,detection,738,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:39,363,401,145,174
29,38,374,168,0.944,YOLO,detection,768,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:40,355,393,154,183
29,38,369,172,0.9443,YOLO,detection,797,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:41,350,388,158,187
29,37,343,169,0.9424,YOLO,detection,827,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:42,325,362,155,184
29,36,343,124,0.9418,YOLO,detection,857,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:43,325,361,110,139
29,37,330,160,0.9384,YOLO,detection,886,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:44,312,349,146,175
29,39,326,194,0.9354,YOLO,detection,915,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:45,307,346,180,209
31,40,348,177,0.9362,YOLO,detection,946,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:46,328,368,162,193
28,36,342,179,0.9398,YOLO,detection,972,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_004.mp4,2026-05-12T10:37:47,324,360,165,193
