bbox_height,bbox_width,center_x,center_y,confidence,detector_source,event,frame_index,label,mode,source_path,timestamp,x1,x2,y1,y2
25,36,448,202,0.9294,YOLO,detection,1,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:27,430,466,190,215
26,37,447,203,0.9287,YOLO,detection,2,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:27,429,466,190,216
26,36,447,203,0.9306,YOLO,detection,3,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:27,429,465,190,216
25,35,446,202,0.9244,YOLO,detection,4,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:27,429,464,190,215
27,38,444,201,0.9293,YOLO,detection,5,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,425,463,188,215
26,38,443,202,0.927,YOLO,detection,6,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,424,462,189,215
26,36,442,202,0.9316,YOLO,detection,7,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,424,460,189,215
27,37,440,202,0.9298,YOLO,detection,8,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,422,459,189,216
26,36,440,203,0.9253,YOLO,detection,9,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,422,458,190,216
26,36,438,204,0.9274,YOLO,detection,10,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,420,456,191,217
27,37,435,204,0.9228,YOLO,detection,11,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,417,454,191,218
27,36,433,204,0.9292,YOLO,detection,12,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,415,451,191,218
25,36,430,203,0.9279,YOLO,detection,13,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,412,448,191,216
26,36,425,203,0.9233,YOLO,detection,14,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,407,443,190,216
25,35,423,202,0.9256,YOLO,detection,15,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,406,441,190,215
26,35,423,203,0.9268,YOLO,detection,16,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,406,441,190,216
25,36,423,204,0.9252,YOLO,detection,17,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,405,441,192,217
25,36,424,205,0.9319,YOLO,detection,18,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,406,442,193,218
26,35,424,205,0.9297,YOLO,detection,19,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,407,442,192,218
26,35,425,204,0.9242,YOLO,detection,20,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,408,443,191,217
25,35,424,203,0.9206,YOLO,detection,21,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,407,442,191,216
26,36,424,203,0.9265,YOLO,detection,22,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,406,442,190,216
26,36,422,203,0.9247,YOLO,detection,23,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,404,440,190,216
26,36,422,204,0.9267,YOLO,detection,24,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,404,440,191,217
26,36,423,205,0.93,YOLO,detection,25,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:28,405,441,192,218
27,37,425,203,0.924,YOLO,detection,26,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,407,444,190,217
26,36,428,200,0.9315,YOLO,detection,27,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,410,446,187,213
27,36,429,195,0.9266,YOLO,detection,28,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,411,447,182,209
26,38,427,190,0.932,YOLO,detection,29,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,408,446,177,203
25,35,423,185,0.9327,YOLO,detection,30,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,406,441,173,198
25,35,421,182,0.9298,YOLO,detection,31,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,404,439,170,195
26,36,418,181,0.9288,YOLO,detection,32,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,400,436,168,194
25,37,415,182,0.9351,YOLO,detection,33,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,397,434,170,195
26,36,416,183,0.9396,YOLO,detection,34,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,398,434,170,196
26,35,416,184,0.9404,YOLO,detection,35,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,399,434,171,197
25,36,417,189,0.9304,YOLO,detection,36,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,399,435,177,202
26,37,419,193,0.9357,YOLO,detection,37,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,401,438,180,206
26,36,419,195,0.9243,YOLO,detection,38,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,401,437,182,208
26,36,418,198,0.932,YOLO,detection,39,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,400,436,185,211
27,37,416,200,0.935,YOLO,detection,40,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,398,435,187,214
26,35,416,202,0.9339,YOLO,detection,41,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,399,434,189,215
25,35,417,202,0.9253,YOLO,detection,42,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,400,435,190,215
25,35,417,201,0.9334,YOLO,detection,43,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,400,435,189,214
26,35,416,201,0.9324,YOLO,detection,44,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,399,434,188,214
27,36,416,202,0.931,YOLO,detection,45,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,398,434,189,216
26,37,413,203,0.927,YOLO,detection,46,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,395,432,190,216
26,36,413,201,0.9315,YOLO,detection,47,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:29,395,431,188,214
26,35,410,199,0.9395,YOLO,detection,48,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,393,428,186,212
26,35,408,201,0.9296,YOLO,detection,49,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,391,426,188,214
25,35,407,203,0.9247,YOLO,detection,50,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,390,425,191,216
25,34,406,202,0.9245,YOLO,detection,51,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,389,423,190,215
26,36,405,202,0.9311,YOLO,detection,52,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,387,423,189,215
25,35,405,201,0.9266,YOLO,detection,53,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,388,423,189,214
26,36,405,201,0.9298,YOLO,detection,54,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,387,423,188,214
26,36,403,202,0.9292,YOLO,detection,55,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,385,421,189,215
26,36,402,205,0.9241,YOLO,detection,56,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,384,420,192,218
26,35,401,206,0.937,YOLO,detection,57,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,384,419,193,219
26,34,401,206,0.9354,YOLO,detection,58,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,384,418,193,219
25,36,401,206,0.9386,YOLO,detection,59,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,383,419,194,219
26,35,400,209,0.9342,YOLO,detection,60,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,383,418,196,222
24,35,401,210,0.9299,YOLO,detection,61,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,384,419,198,222
26,36,400,208,0.9376,YOLO,detection,62,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,382,418,195,221
27,38,398,205,0.9321,YOLO,detection,63,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,379,417,192,219
26,35,396,203,0.9255,YOLO,detection,64,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,379,414,190,216
25,35,395,202,0.9299,YOLO,detection,65,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,378,413,190,215
26,35,394,204,0.9284,YOLO,detection,66,drone,Mode 1,C:/Users/user/Desktop/python/project/project/src/dataset/videos/split_output/video_010.mp4,2026-05-08T16:13:30,377,412,191,217
