bbox_height,bbox_width,center_x,center_y,confidence,detector_source,event,frame_index,label,mode,source_path,timestamp,x1,x2,y1,y2
24,26,307,298,0.8689,YOLO,detection,3,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:09,294,320,286,310
25,32,267,289,0.9175,YOLO,detection,36,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:09,251,283,277,302
24,32,259,295,0.8929,YOLO,detection,50,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:10,243,275,283,307
25,32,305,272,0.6901,YOLO,detection,64,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:10,289,321,260,285
22,26,308,257,0.8097,YOLO,detection,116,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:12,295,321,246,268
18,28,287,293,0.8864,YOLO,detection,224,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:15,273,301,284,302
18,26,279,271,0.8984,YOLO,detection,239,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:16,266,292,262,280
18,26,282,246,0.8939,YOLO,detection,252,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:16,269,295,237,255
18,27,287,242,0.9097,YOLO,detection,266,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:17,274,301,233,251
18,25,291,237,0.8912,YOLO,detection,279,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:17,279,304,228,246
18,26,296,228,0.8348,YOLO,detection,293,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:18,283,309,219,237
18,25,288,230,0.9015,YOLO,detection,308,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:18,276,301,221,239
19,28,295,266,0.8946,YOLO,detection,322,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:19,281,309,257,276
18,25,293,261,0.8599,YOLO,detection,335,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:19,281,306,252,270
19,27,290,258,0.8823,YOLO,detection,349,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:20,277,304,249,268
18,25,293,254,0.8955,YOLO,detection,362,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:20,281,306,245,263
18,27,295,247,0.8876,YOLO,detection,375,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:20,282,309,238,256
20,27,289,242,0.896,YOLO,detection,388,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:21,276,303,232,252
20,27,290,251,0.8865,YOLO,detection,402,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:21,277,304,241,261
18,25,292,254,0.8828,YOLO,detection,415,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:22,280,305,245,263
18,27,301,261,0.8963,YOLO,detection,430,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:22,288,315,252,270
19,28,302,262,0.8897,YOLO,detection,442,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/src/dataset/videos/split_output/video_009.mp4,2026-05-11T10:41:23,288,316,253,272
