epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,292.122,0.65515,0.35263,0.8529,0.99169,0.96,0.98345,0.83159,0.65364,0.3323,0.85748,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,301.517,0.66596,0.36061,0.84901,0.99909,0.96308,0.9832,0.82979,0.62801,0.33753,0.85258,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,310.972,0.66076,0.36158,0.84907,0.99242,0.96615,0.98361,0.8449,0.57354,0.31679,0.84475,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,320.282,0.64953,0.35888,0.84299,0.99561,0.96923,0.98145,0.82682,0.65758,0.34922,0.85695,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,329.71,0.64766,0.35233,0.85616,0.99659,0.96,0.98069,0.82689,0.64214,0.34788,0.86106,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,339.055,0.64988,0.35082,0.84777,0.98741,0.96553,0.97418,0.83784,0.59624,0.3264,0.84896,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,348.439,0.64369,0.35636,0.85104,0.98613,0.96308,0.98144,0.83383,0.6212,0.33067,0.85382,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,357.782,0.63753,0.3528,0.83962,0.99623,0.96923,0.98308,0.8361,0.58585,0.31758,0.85287,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,367.116,0.63396,0.34743,0.8425,0.99239,0.96,0.97903,0.83804,0.61221,0.33574,0.85336,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,376.48,0.63044,0.34999,0.84023,0.99051,0.96387,0.97295,0.83627,0.58558,0.33516,0.84958,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,385.813,0.64569,0.34931,0.84501,0.99327,0.96308,0.98177,0.83517,0.59696,0.32389,0.84983,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,395.173,0.6442,0.35208,0.84537,0.98742,0.96619,0.98288,0.85357,0.55019,0.31775,0.84645,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,404.535,0.65384,0.35546,0.85114,0.97796,0.97231,0.9829,0.835,0.59811,0.32537,0.85062,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,414.064,0.63393,0.349,0.84509,0.99026,0.96923,0.98225,0.83615,0.60875,0.31636,0.85195,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,423.494,0.63302,0.34927,0.83738,0.99321,0.96615,0.98333,0.85084,0.56519,0.30892,0.8452,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,432.887,0.62948,0.35253,0.83739,0.9875,0.97195,0.98339,0.84583,0.58594,0.31665,0.84679,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,442.322,0.61008,0.33705,0.83413,0.99017,0.96,0.98124,0.8488,0.57691,0.32099,0.84173,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,451.755,0.64173,0.36969,0.8404,0.98063,0.96308,0.97299,0.84992,0.54818,0.31116,0.84295,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,461.052,0.62133,0.34076,0.8389,0.98348,0.96308,0.97337,0.8588,0.5531,0.31712,0.8404,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,470.567,0.6039,0.33059,0.83693,0.98688,0.96615,0.97358,0.8465,0.56463,0.30862,0.84563,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,479.907,0.61559,0.34658,0.83584,0.98739,0.96615,0.98393,0.85048,0.57073,0.32838,0.84456,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,489.247,0.59826,0.33879,0.8399,0.9837,0.97538,0.98331,0.85259,0.57754,0.31252,0.84313,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,498.672,0.62361,0.34068,0.84551,0.98855,0.96308,0.98158,0.85308,0.55404,0.30481,0.84155,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,508.005,0.61357,0.33725,0.83114,0.98745,0.96865,0.98226,0.84375,0.58488,0.31288,0.84804,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,517.309,0.61045,0.34061,0.8349,0.99137,0.96,0.98086,0.84258,0.5775,0.31835,0.84419,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,526.651,0.5925,0.3302,0.83258,0.98682,0.96308,0.9818,0.83957,0.58709,0.31804,0.84878,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,536.041,0.60405,0.33385,0.84287,0.98032,0.97231,0.98302,0.85875,0.55188,0.30543,0.84308,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,545.334,0.62428,0.34699,0.84269,0.99362,0.95888,0.97982,0.85089,0.55823,0.31502,0.84045,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,554.666,0.60985,0.33347,0.8417,0.98431,0.96533,0.9824,0.85782,0.54318,0.30162,0.83899,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,564.023,0.60817,0.3339,0.82881,0.9866,0.96923,0.98286,0.84932,0.55862,0.29279,0.8445,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,573.383,0.58933,0.32898,0.83099,0.97671,0.96615,0.98294,0.85978,0.54818,0.30031,0.83894,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,582.748,0.5896,0.32822,0.82687,0.98122,0.96461,0.98306,0.86237,0.53953,0.28827,0.83844,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,592.206,0.58306,0.32147,0.8368,0.98311,0.96308,0.97917,0.86242,0.52155,0.29442,0.83576,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,601.613,0.59766,0.32611,0.83623,0.98737,0.96308,0.98176,0.85898,0.53835,0.2949,0.83717,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,611.069,0.5833,0.32507,0.8313,0.99156,0.96,0.98272,0.8569,0.54158,0.29143,0.83675,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,620.397,0.57983,0.31635,0.83547,0.97803,0.96923,0.98281,0.86409,0.52761,0.29391,0.83339,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,629.854,0.57726,0.32123,0.82552,0.98061,0.97538,0.9817,0.84581,0.5584,0.30328,0.83433,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,639.262,0.58879,0.32499,0.83175,0.98629,0.96615,0.97432,0.85337,0.54992,0.3064,0.83711,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,648.6,0.57166,0.32282,0.83505,0.99048,0.96615,0.97469,0.85604,0.52943,0.29151,0.83557,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,658.005,0.57022,0.32152,0.83515,0.98699,0.96,0.98113,0.84616,0.5824,0.29499,0.84486,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,667.416,0.58545,0.32045,0.82964,0.99631,0.96308,0.97449,0.84911,0.55929,0.28378,0.83876,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,676.756,0.57609,0.31525,0.8277,0.99263,0.96308,0.98217,0.86149,0.53325,0.28815,0.83559,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,686.171,0.57622,0.31322,0.83066,0.98393,0.96615,0.97393,0.85112,0.55033,0.29243,0.83971,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,695.595,0.57366,0.31839,0.83143,0.9812,0.96337,0.98089,0.85143,0.54789,0.29228,0.83985,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,704.949,0.56069,0.31277,0.82437,0.98734,0.96615,0.98316,0.86228,0.5489,0.2829,0.84065,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
