epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.585,1.56934,1.84562,1.60155,0.73409,0.69761,0.74468,0.3335,1.78871,1.3517,1.87551,0.000665935,0.000665935,0.000665935
2,107.37,1.59694,1.08763,1.64211,0.77273,0.71889,0.77831,0.38884,1.65289,1.16011,1.7016,0.00120067,0.00120067,0.00120067
3,150.91,1.53765,0.96988,1.60286,0.85211,0.81282,0.88759,0.46904,1.52062,0.9268,1.57637,0.00160341,0.00160341,0.00160341
4,193.955,1.48302,0.86688,1.56065,0.89423,0.83849,0.90131,0.49658,1.49202,0.83795,1.53527,0.001406,0.001406,0.001406
5,237.029,1.41608,0.7958,1.49996,0.89464,0.86645,0.91272,0.51066,1.46101,0.80513,1.52431,0.001208,0.001208,0.001208
6,279.92,1.36611,0.7377,1.46521,0.90346,0.89116,0.93134,0.54932,1.37988,0.72131,1.45262,0.00101,0.00101,0.00101
7,322.936,1.31898,0.69171,1.43199,0.90976,0.88494,0.9317,0.56127,1.33565,0.68146,1.41646,0.000812,0.000812,0.000812
