epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.34371,1.05203,0.69802,1.00108,0.96898,0.77619,0.85843,0.68157,0.80411,0.53931,0.94173,0.000651515,0.000651515,0.000651515
2,13.521,1.00102,0.56616,0.97099,0.95227,0.86737,0.93693,0.69894,0.85914,0.46181,0.9712,0.00131166,0.00131166,0.00131166
3,18.3875,0.99017,0.5374,0.94481,0.91856,0.91304,0.95181,0.6965,0.92581,0.52636,0.99517,0.0019652,0.0019652,0.0019652
4,22.9779,1.01386,0.55745,0.94477,0.95247,0.86957,0.9462,0.70577,0.86957,0.4653,0.97512,0.0019703,0.0019703,0.0019703
5,27.5875,0.93408,0.50868,0.93235,0.97001,0.8882,0.96349,0.69622,0.94588,0.45591,0.9888,0.0019604,0.0019604,0.0019604
6,32.1548,0.92295,0.49844,0.93145,0.94269,0.91925,0.95774,0.72446,0.83996,0.42914,0.959,0.0019505,0.0019505,0.0019505
7,36.8627,0.90418,0.49369,0.9199,0.96052,0.93168,0.9554,0.73976,0.82638,0.40908,0.96444,0.0019406,0.0019406,0.0019406
8,41.4596,0.89963,0.47395,0.92993,0.93683,0.93168,0.95617,0.71644,0.86431,0.42556,0.97957,0.0019307,0.0019307,0.0019307
9,46.0262,0.87337,0.47347,0.93091,0.94957,0.93557,0.96691,0.71884,0.87449,0.43563,0.97219,0.0019208,0.0019208,0.0019208
10,50.5867,0.85248,0.46092,0.91468,0.95256,0.93168,0.9678,0.73521,0.87179,0.41464,0.97222,0.0019109,0.0019109,0.0019109
11,55.1404,0.87887,0.48413,0.91172,0.94518,0.91925,0.95897,0.72668,0.89519,0.42088,0.99887,0.001901,0.001901,0.001901
12,59.8083,0.85401,0.46769,0.90546,0.94427,0.9441,0.97839,0.73064,0.82915,0.40143,0.96821,0.0018911,0.0018911,0.0018911
13,64.3689,0.86606,0.45869,0.92969,0.93615,0.92547,0.96163,0.71464,0.9061,0.4551,0.99753,0.0018812,0.0018812,0.0018812
14,68.9367,0.82871,0.44437,0.90256,0.95316,0.92547,0.96815,0.71924,0.8918,0.42375,0.98339,0.0018713,0.0018713,0.0018713
15,73.4989,0.81811,0.43501,0.88635,0.98003,0.91464,0.96863,0.69987,0.91857,0.42839,0.9908,0.0018614,0.0018614,0.0018614
16,78.0575,0.81944,0.43488,0.90374,0.96508,0.93168,0.96881,0.73504,0.86058,0.39871,0.97068,0.0018515,0.0018515,0.0018515
17,82.7178,0.77744,0.41012,0.88839,0.94936,0.93789,0.96472,0.7266,0.87969,0.38593,0.98066,0.0018416,0.0018416,0.0018416
18,87.286,0.79831,0.41802,0.89939,0.96762,0.93168,0.96995,0.74311,0.8402,0.38701,0.96033,0.0018317,0.0018317,0.0018317
19,91.9126,0.82152,0.42165,0.89851,0.95604,0.9455,0.97955,0.70878,0.9382,0.40132,0.98548,0.0018218,0.0018218,0.0018218
20,96.4744,0.78408,0.40469,0.88944,0.95635,0.95255,0.96849,0.70941,0.93776,0.41101,0.98528,0.0018119,0.0018119,0.0018119
21,101.025,0.80992,0.41823,0.90057,0.94572,0.97398,0.98129,0.73331,0.86435,0.38665,0.98321,0.001802,0.001802,0.001802
22,105.582,0.80922,0.41897,0.88346,0.95076,0.9594,0.97547,0.72807,0.88187,0.38502,0.98129,0.0017921,0.0017921,0.0017921
23,110.296,0.80681,0.4079,0.88576,0.93915,0.95856,0.97913,0.71651,0.91637,0.3907,0.99586,0.0017822,0.0017822,0.0017822
24,114.849,0.74915,0.39959,0.88469,0.93831,0.95031,0.96945,0.73189,0.89025,0.39511,0.98825,0.0017723,0.0017723,0.0017723
25,119.406,0.78555,0.41832,0.89196,0.95093,0.95652,0.97186,0.70158,0.94207,0.39646,0.99773,0.0017624,0.0017624,0.0017624
26,123.965,0.77936,0.40925,0.89151,0.95256,0.93789,0.96745,0.71424,0.87354,0.3842,0.98498,0.0017525,0.0017525,0.0017525
27,128.526,0.75039,0.40236,0.88581,0.97366,0.91836,0.96532,0.72882,0.87832,0.39398,0.98486,0.0017426,0.0017426,0.0017426
28,133.185,0.74761,0.40426,0.87551,0.94871,0.95031,0.97508,0.73469,0.89033,0.3905,0.98733,0.0017327,0.0017327,0.0017327
29,137.747,0.77017,0.42461,0.87988,0.92441,0.97516,0.97941,0.73693,0.87014,0.38753,0.98566,0.0017228,0.0017228,0.0017228
30,142.302,0.74161,0.38399,0.87449,0.95052,0.96894,0.98227,0.72585,0.88544,0.36909,0.98649,0.0017129,0.0017129,0.0017129
31,146.865,0.72771,0.38604,0.87127,0.9649,0.91925,0.9759,0.73338,0.87391,0.36632,0.98913,0.001703,0.001703,0.001703
32,151.423,0.71972,0.39035,0.85958,0.98661,0.9151,0.97978,0.73767,0.85561,0.36793,0.9742,0.0016931,0.0016931,0.0016931
33,156.088,0.74842,0.39444,0.88016,0.94579,0.95031,0.97811,0.73289,0.87219,0.39242,0.98206,0.0016832,0.0016832,0.0016832
34,160.641,0.74346,0.3953,0.87314,0.96843,0.9441,0.98563,0.73662,0.87758,0.38756,0.97412,0.0016733,0.0016733,0.0016733
35,165.188,0.73886,0.39776,0.8748,0.98077,0.9441,0.98171,0.73781,0.8402,0.38362,0.97041,0.0016634,0.0016634,0.0016634
36,169.748,0.70569,0.37186,0.86238,0.9761,0.95652,0.98945,0.7497,0.82368,0.36983,0.96423,0.0016535,0.0016535,0.0016535
37,174.34,0.69498,0.37016,0.85575,0.93802,0.97516,0.98047,0.73809,0.8526,0.36928,0.99026,0.0016436,0.0016436,0.0016436
38,178.9,0.7052,0.38411,0.87462,0.97656,0.91925,0.97872,0.73767,0.842,0.36302,0.98441,0.0016337,0.0016337,0.0016337
39,183.566,0.71793,0.38473,0.87113,0.93434,0.9722,0.98887,0.72902,0.87227,0.37857,0.98854,0.0016238,0.0016238,0.0016238
40,188.132,0.71456,0.38044,0.86828,0.96832,0.94931,0.97827,0.73678,0.85102,0.38036,0.985,0.0016139,0.0016139,0.0016139
41,192.692,0.68602,0.37804,0.86356,0.97306,0.93168,0.97751,0.74747,0.83235,0.38064,0.97759,0.001604,0.001604,0.001604
42,197.244,0.70032,0.37748,0.86602,0.96226,0.95015,0.97012,0.71241,0.92214,0.39671,0.99911,0.0015941,0.0015941,0.0015941
43,201.804,0.695,0.36409,0.86137,0.94325,0.95652,0.9877,0.75105,0.82672,0.35352,0.97914,0.0015842,0.0015842,0.0015842
44,206.508,0.67703,0.3721,0.8546,0.99277,0.93168,0.98083,0.75214,0.82314,0.38245,0.96601,0.0015743,0.0015743,0.0015743
45,211.097,0.69654,0.3747,0.85647,0.99249,0.9441,0.9827,0.73761,0.85404,0.36855,0.9706,0.0015644,0.0015644,0.0015644
46,215.653,0.66266,0.35547,0.85339,0.96782,0.91925,0.9597,0.72608,0.87415,0.37032,0.99266,0.0015545,0.0015545,0.0015545
47,220.207,0.68345,0.36577,0.85591,0.96778,0.93296,0.97613,0.74533,0.84764,0.36921,0.98604,0.0015446,0.0015446,0.0015446
48,224.862,0.689,0.36569,0.86519,0.97727,0.93168,0.95146,0.72838,0.88005,0.36804,0.98377,0.0015347,0.0015347,0.0015347
49,229.419,0.68005,0.35959,0.86099,0.97432,0.94264,0.9701,0.73827,0.84936,0.36267,0.98433,0.0015248,0.0015248,0.0015248
50,233.979,0.67167,0.3569,0.85118,0.94244,0.96894,0.97897,0.73837,0.85585,0.35499,0.9934,0.0015149,0.0015149,0.0015149
51,238.544,0.66817,0.35762,0.84708,0.96974,0.93789,0.9677,0.72759,0.88882,0.37242,1.00916,0.001505,0.001505,0.001505
52,243.097,0.6914,0.36145,0.85068,0.98058,0.94067,0.9799,0.73892,0.83687,0.36052,0.98005,0.0014951,0.0014951,0.0014951
53,247.753,0.69532,0.37611,0.85542,0.98072,0.9477,0.98087,0.729,0.90895,0.38947,1.00801,0.0014852,0.0014852,0.0014852
54,252.308,0.70136,0.36115,0.86209,0.99341,0.93606,0.97561,0.74061,0.82109,0.36524,0.98276,0.0014753,0.0014753,0.0014753
55,256.864,0.66849,0.35137,0.86373,0.98938,0.9441,0.98028,0.74825,0.84033,0.36073,0.9781,0.0014654,0.0014654,0.0014654
56,261.427,0.7007,0.37183,0.84719,1,0.92891,0.98234,0.75462,0.81301,0.34589,0.95875,0.0014555,0.0014555,0.0014555
57,266.018,0.66145,0.35298,0.83874,0.96936,0.95031,0.98224,0.74034,0.8331,0.35952,0.98795,0.0014456,0.0014456,0.0014456
58,270.578,0.69198,0.36354,0.85596,0.97982,0.95031,0.9829,0.74031,0.83119,0.36595,0.96661,0.0014357,0.0014357,0.0014357
59,275.248,0.66624,0.35751,0.85429,0.96503,0.95031,0.98018,0.72475,0.89673,0.37748,0.98605,0.0014258,0.0014258,0.0014258
60,279.803,0.63912,0.34783,0.8339,0.97825,0.95031,0.99067,0.7381,0.83868,0.36166,0.97989,0.0014159,0.0014159,0.0014159
61,284.359,0.67199,0.34854,0.84793,0.96805,0.9411,0.97889,0.72825,0.868,0.36202,0.99842,0.001406,0.001406,0.001406
62,288.918,0.66323,0.34046,0.8458,0.95459,0.96273,0.98079,0.74401,0.82434,0.3533,0.97858,0.0013961,0.0013961,0.0013961
63,293.467,0.62008,0.33385,0.8408,0.98647,0.9441,0.99216,0.74443,0.82377,0.35684,0.98382,0.0013862,0.0013862,0.0013862
64,298.14,0.60875,0.33209,0.83296,0.9869,0.93609,0.99045,0.73789,0.86731,0.36197,0.99249,0.0013763,0.0013763,0.0013763
65,302.696,0.63054,0.33598,0.84145,0.96651,0.95652,0.98131,0.73188,0.84492,0.3496,0.98762,0.0013664,0.0013664,0.0013664
66,307.257,0.6079,0.34017,0.83374,0.96231,0.95155,0.99111,0.74748,0.82851,0.35081,0.98264,0.0013565,0.0013565,0.0013565
67,311.813,0.63829,0.34066,0.85586,0.98442,0.93168,0.98053,0.75554,0.81113,0.3322,0.97035,0.0013466,0.0013466,0.0013466
68,316.382,0.61322,0.32867,0.8382,0.95753,0.95652,0.98188,0.74046,0.85323,0.35304,0.9778,0.0013367,0.0013367,0.0013367
69,321.031,0.62442,0.32536,0.83429,0.94437,0.99379,0.99264,0.73727,0.83737,0.36098,0.98231,0.0013268,0.0013268,0.0013268
70,325.584,0.64934,0.35091,0.83997,0.97436,0.94416,0.98157,0.74104,0.84482,0.3621,0.98852,0.0013169,0.0013169,0.0013169
71,330.143,0.62991,0.33846,0.84127,0.98098,0.9613,0.98244,0.74284,0.84193,0.35017,0.98553,0.001307,0.001307,0.001307
